"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2008","6,014.80","5,947.10","6,014.80","5,947.10","","1.14%"
"04/04/2008","5,947.10","5,891.30","5,948.00","5,888.00","","0.95%"
"03/04/2008","5,891.30","5,915.90","5,935.20","5,864.00","","-0.42%"
"02/04/2008","5,915.90","5,852.60","5,920.10","5,827.20","","1.08%"
"01/04/2008","5,852.60","5,702.10","5,865.80","5,670.40","","2.64%"
"31/03/2008","5,702.10","5,692.90","5,715.10","5,585.60","","0.16%"
"28/03/2008","5,692.90","5,717.50","5,747.20","5,673.70","","-0.43%"
"27/03/2008","5,717.50","5,660.40","5,735.00","5,650.90","","1.01%"
"26/03/2008","5,660.40","5,689.10","5,689.10","5,639.10","","-0.50%"
"25/03/2008","5,689.10","5,495.20","5,704.30","5,495.20","","3.53%"
"20/03/2008","5,495.20","5,545.60","5,545.60","5,461.90","","-0.91%"
"19/03/2008","5,545.60","5,605.80","5,653.60","5,524.80","","-1.07%"
"18/03/2008","5,605.80","5,414.40","5,610.00","5,414.40","","3.54%"
"17/03/2008","5,414.40","5,631.70","5,631.70","5,414.40","","-3.86%"
"14/03/2008","5,631.70","5,692.40","5,782.00","5,595.80","","-1.07%"
"13/03/2008","5,692.40","5,776.40","5,776.40","5,628.90","","-1.45%"
"12/03/2008","5,776.40","5,690.40","5,812.70","5,690.40","","1.51%"
"11/03/2008","5,690.40","5,629.10","5,783.40","5,629.10","","1.09%"
"10/03/2008","5,629.10","5,699.90","5,718.80","5,616.60","","-1.24%"
"07/03/2008","5,699.90","5,766.40","5,766.40","5,655.70","","-1.15%"
"06/03/2008","5,766.40","5,853.50","5,871.10","5,753.10","","-1.49%"
"05/03/2008","5,853.50","5,767.70","5,860.50","5,763.90","","1.49%"
"04/03/2008","5,767.70","5,818.60","5,872.90","5,719.80","","-0.87%"
"03/03/2008","5,818.60","5,884.30","5,884.30","5,770.10","","-1.12%"
"29/02/2008","5,884.30","5,965.70","5,986.20","5,859.30","","-1.36%"
"28/02/2008","5,965.70","6,076.50","6,090.80","5,960.30","","-1.82%"
"27/02/2008","6,076.50","6,087.40","6,104.50","5,989.00","","-0.18%"
"26/02/2008","6,087.40","5,999.50","6,092.50","5,991.60","","1.47%"
"25/02/2008","5,999.50","5,888.50","6,011.70","5,888.50","","1.89%"
"22/02/2008","5,888.50","5,932.20","5,970.90","5,863.80","","-0.74%"
"21/02/2008","5,932.20","5,893.60","6,004.40","5,893.60","","0.65%"
"20/02/2008","5,893.60","5,966.90","5,966.90","5,847.40","","-1.23%"
"19/02/2008","5,966.90","5,946.60","6,033.70","5,884.80","","3.10%"
"15/02/2008","5,787.60","5,879.30","5,915.00","5,763.50","","-1.56%"
"14/02/2008","5,879.30","5,880.10","5,938.50","5,859.40","","-0.01%"
"13/02/2008","5,880.10","5,910.00","5,915.00","5,814.80","","-0.51%"
"12/02/2008","5,910.00","5,707.70","5,910.00","5,707.70","","3.54%"
"11/02/2008","5,707.70","5,784.00","5,789.60","5,681.50","","-1.32%"
"08/02/2008","5,784.00","5,724.10","5,805.30","5,703.10","","1.05%"
"07/02/2008","5,724.10","5,875.40","5,875.40","5,708.80","","-2.58%"
"06/02/2008","5,875.40","5,868.00","5,892.60","5,816.40","","0.13%"
"05/02/2008","5,868.00","6,026.20","6,026.20","5,852.80","","-2.63%"
"04/02/2008","6,026.20","6,029.20","6,071.30","6,000.20","","-0.05%"
"01/02/2008","6,029.20","5,879.80","6,044.90","5,879.80","","2.54%"
"31/01/2008","5,879.80","5,837.30","5,899.50","5,689.40","","0.73%"
"30/01/2008","5,837.30","5,885.20","5,885.20","5,818.60","","-0.81%"
"29/01/2008","5,885.20","5,788.90","5,885.20","5,788.90","","1.66%"
"28/01/2008","5,788.90","5,869.00","5,869.00","5,705.10","","-1.36%"
"25/01/2008","5,869.00","5,875.80","5,973.30","5,848.50","","-0.12%"
"24/01/2008","5,875.80","5,609.30","5,882.30","5,609.30","","4.75%"
"23/01/2008","5,609.30","5,740.10","5,844.90","5,518.30","","-2.28%"
"22/01/2008","5,740.10","5,578.20","5,764.00","5,338.70","","2.90%"
"21/01/2008","5,578.20","5,901.70","5,901.70","5,571.00","","-5.48%"
"18/01/2008","5,901.70","5,902.40","6,030.90","5,856.80","","-0.01%"
"17/01/2008","5,902.40","5,942.90","6,028.40","5,895.40","","-0.68%"
"16/01/2008","5,942.90","6,025.60","6,031.50","5,908.50","","-1.37%"
"15/01/2008","6,025.60","6,215.70","6,215.70","6,025.60","","-3.06%"
"14/01/2008","6,215.70","6,202.00","6,247.30","6,173.00","","0.22%"
"11/01/2008","6,202.00","6,222.70","6,251.80","6,147.00","","-0.33%"
"10/01/2008","6,222.70","6,272.70","6,314.50","6,213.00","","-0.80%"
"09/01/2008","6,272.70","6,356.50","6,356.50","6,241.80","","-1.32%"
"08/01/2008","6,356.50","6,335.70","6,399.60","6,335.70","","0.33%"
"07/01/2008","6,335.70","6,348.50","6,376.50","6,275.20","","-0.20%"
"04/01/2008","6,348.50","6,479.40","6,534.70","6,333.20","","-2.02%"
"03/01/2008","6,479.40","6,416.70","6,487.80","6,394.60","","0.98%"
"02/01/2008","6,416.70","6,456.90","6,512.30","6,402.60","","-0.62%"
"31/12/2007","6,456.90","6,476.90","6,480.20","6,432.80","","-0.31%"
"28/12/2007","6,476.90","6,497.80","6,497.80","6,436.80","","-0.32%"
"27/12/2007","6,497.80","6,479.30","6,504.70","6,468.40","","0.29%"
"24/12/2007","6,479.30","6,434.10","6,485.60","6,431.20","","0.70%"
"21/12/2007","6,434.10","6,345.60","6,451.80","6,345.60","","1.39%"
"20/12/2007","6,345.60","6,284.50","6,367.70","6,284.50","","0.97%"
"19/12/2007","6,284.50","6,279.30","6,319.10","6,251.80","","0.08%"
"18/12/2007","6,279.30","6,277.80","6,344.30","6,254.50","","0.02%"
"17/12/2007","6,277.80","6,397.00","6,397.00","6,264.30","","-1.86%"
"14/12/2007","6,397.00","6,364.20","6,426.20","6,336.70","","0.52%"
"13/12/2007","6,364.20","6,559.80","6,559.80","6,364.20","","-2.98%"
"12/12/2007","6,559.80","6,536.90","6,610.90","6,429.50","","0.35%"
"11/12/2007","6,536.90","6,565.40","6,597.50","6,513.40","","-0.43%"
"10/12/2007","6,565.40","6,554.90","6,596.70","6,523.70","","0.16%"
